Transcription-Units	Promoter	Absolute-Plus-1-Position	Binds-Sigma-Factor	Genes	Gene left	Gene right	Transcription-Direction	Names
hybOABCDEFG	hybOp1	3146363	RNA polymerase sigma factor RpoD	hybO // hybG // hybF // hybE // hybD // hybC // hybB // hybA	3145143 // 3139716 // 3139977 // 3140311 // 3140792 // 3141286 // 3142986 // 3144154	3146261 // 3139964 // 3140318 // 3140799 // 3141286 // 3142989 // 3144164 // 3145140	-	hybOABCDEFG
bssS	bssSp	1121020	RNA polymerase sigma factor RpoD	bssS	1120701	1120955	-	bssS
casABCDE12	casAp	2884319	RNA polymerase sigma factor RpoD	casA // casB // casC // casD // casE // cas1 // cas2	2882630 // 2882155 // 2881051 // 2880374 // 2879788 // 2878855 // 2878569	2884138 // 2882637 // 2882142 // 2881048 // 2880387 // 2879772 // 2878853	-	casABCDE12
apt	aptp	491310	RNA polymerase sigma factor RpoD	apt	491412	491963	+	apt
tnaC	tnaCp	3888411	RNA polymerase sigma factor RpoD	tnaC	3888435	3888509	+	tnaC
rpsB-tsf	rpsBp	189712	RNA polymerase sigma factor RpoD	tff // rpsB // tsf	189712 // 189874 // 190857	189847 // 190599 // 191708	+	rpsB-tsf
dcuSR	dcuSp	4351685	RNA polymerase sigma factor RpoD	dcuR // dcuS	4349315 // 4350031	4350034 // 4351662	-	dcuSR
imp	impp1	57156	RNA polymerase sigma factor RpoD	lptD	54755	57109	-	imp
murQP	murQp1	2545733	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	murP // murQ	2546673 // 2545773	2548097 // 2546669	+	murQP
focA-pflB	focAp3	954814	RNA polymerase sigma factor RpoD	pflB // focA	951272 // 953609	953554 // 954466	-	focA-pflB // pfl
menA-rraA	menAp2	4120406	RNA polymerase sigma factor RpoD	rraA // menA	4118845 // 4119423	4119330 // 4120349	-	menA-rraA
metY	metYp2	3318375	RNA polymerase sigma factor RpoD	metY	3318213	3318289	-	metY
cyaA	cyaAp	3990999	RNA polymerase sigma factor RpoD	cyaA	3991153	3993699	+	cyaA // OP00023 // cya
fliAZY	fliAp1	2001819	RNA polymerase sigma factor RpoD	tcyJ // fliZ // fliA	1999585 // 2000473 // 2001070	2000385 // 2001024 // 2001789	-	fliAZY // fliA
mqsRA	mqsRp1	3168653	RNA polymerase sigma factor RpoD	mqsR // mqsA	3168248 // 3167851	3168544 // 3168246	-	mqsRA
ivbL-ilvBN	ivbLp	3853023	RNA polymerase sigma factor RpoD	ilvN // ilvB // ivbL	3850802 // 3851096 // 3852890	3851092 // 3852784 // 3852988	-	ivbL-ilvBN // OP00040 // ilvB // ilvBN // w3608-ilvBN
mcbA	mcbAp5	842153	RNA polymerase sigma factor RpoD	mcbA	841796	842056	-	mcbA
ompA	ompAp1	1020191	RNA polymerase sigma factor RpoD	ompA	1019013	1020053	-	ompA // OP00064
tsx	tsxp1	432245	RNA polymerase sigma factor RpoD	tsx	431129	432013	-	tsx
sodA	sodAp	4100759	RNA polymerase sigma factor RpoD	sodA	4100810	4101430	+	sodA // OP00089
ycaR-kdsB	ycaRp	970642	RNA polymerase sigma factor RpoD	kdsB // ycaR	970852 // 970673	971598 // 970855	+	ycaR-kdsB
pth-ychF	pthp	1258542	RNA polymerase sigma factor RpoD	ychF // pth	1256721 // 1257929	1257812 // 1258513	-	pth-ychF
cadBA	cadBp	4360106	RNA polymerase sigma factor RpoD	cadA // cadB	4356470 // 4358697	4358617 // 4360031	-	cadBA
yccA	yccAp	1031443	RNA polymerase sigma factor RpoD	yccA	1030759	1031418	-	yccA
qseBC	qseBp1	3169801	RNA polymerase sigma factor RpoD	qseC // qseB	3170484 // 3169828	3171833 // 3170487	+	qseBC
slp-dctR	slpp	3653936	RNA polymerase sigma factor RpoD	dctR // slp	3654683 // 3653961	3655213 // 3654527	+	slp-dctR // OP00136 // slpA
ycdZ	ycdZp4	1100252	RNA polymerase sigma factor RpoD	ycdZ	1100296	1100787	+	ycdZ
treR	treRp3	4467279	RNA polymerase sigma factor RpoD	treR	4466299	4467246	-	treR
asnV	asnVp	2062252	RNA polymerase sigma factor RpoD	asnV	2062260	2062335	+	asnV
asnC	asnCp	3927031	RNA polymerase sigma factor RpoD	asnC	3926545	3927003	-	asnC // OP00153
pyrF-yciH	pyrFp	1341870	RNA polymerase sigma factor RpoD	yciH // pyrF	1342658 // 1341921	1342984 // 1342658	+	pyrF-yciH
isrC-flu	flup	2071317	RNA polymerase sigma factor RpoD	isrC // flu	2071317 // 2071539	2071511 // 2074658	+	isrC-flu // agn43
serV-argVYZQ	serVp	2818697	RNA polymerase sigma factor RpoD	argQ // argZ // argY // argV // serV	2817784 // 2818059 // 2818198 // 2818473 // 2818553	2817860 // 2818135 // 2818274 // 2818549 // 2818645	-	serV-argVYZQ // serV
nupG	nupGp	3105651	RNA polymerase sigma factor RpoD	nupG	3105714	3106970	+	nupG // OP00172
cspD	cspDp	922676	RNA polymerase sigma factor RpoD	cspD	922366	922590	-	cspD
grcA	grcAp1	2716523	RNA polymerase sigma factor RpoD	grcA	2716066	2716449	-	grcA // yfiD
cysDNC	cysDp	2876368	RNA polymerase sigma factor RpoD	cysC // cysN // cysD	2873387 // 2873992 // 2875421	2873992 // 2875419 // 2876329	-	cysDNC // cysD // cysNC
gltX	gltXp1	2520784	RNA polymerase sigma factor RpoD	gltX	2519257	2520672	-	gltX
dnaN-recF	dnaNp4	3882348	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	recF // dnaN	3880148 // 3881221	3881221 // 3882321	-	dnaN-recF
mreB	mreBp1	3401129	RNA polymerase sigma factor RpoD	mreB	3400044	3401087	-	mreB
ppsA	ppsAp	1787161	RNA polymerase sigma factor RpoD	ppsA	1784734	1787112	-	ppsA // OP00221 // pps
pdeL	pdeLp2	331873	RNA polymerase sigma factor RpoD	pdeL	332371	333459	+	pdeL // yahA
arcA	arcAp4	4640599	RNA polymerase sigma factor RpoD	arcA	4639590	4640306	-	arcA
thrLABC	thrLp	148	RNA polymerase sigma factor RpoD	thrL // thrA // thrB // thrC	190 // 337 // 2801 // 3734	255 // 2799 // 3733 // 5020	+	thrLABC // OP00248 // thr // thrABC
pheLA	pheLp	2737579	RNA polymerase sigma factor RpoD	pheA // pheL	2737745 // 2737599	2738905 // 2737646	+	pheLA
nadB	nadBp	2710357	RNA polymerase sigma factor RpoD	nadB	2710420	2712042	+	nadB // OP00272
acs-yjcHG	acsp1	4287595	RNA polymerase sigma factor RpoD	actP // yjcH // acs	4283253 // 4284899 // 4285413	4284902 // 4285213 // 4287371	-	acs-yjcHG
hupB	hupBp3	461332	RNA polymerase sigma factor RpoD	hupB	461451	461723	+	hupB
murR	murRp	2545793	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	murR	2544752	2545609	-	murR
uvrB	uvrBp3	813152	RNA polymerase sigma factor RpoD	uvrB	813526	815547	+	uvrB
tpx	tpxp	1388844	RNA polymerase sigma factor RpoD	tpx	1388305	1388811	-	tpx
edd-eda	eddp	1934713	RNA polymerase sigma factor RpoD	eda // edd	1932115 // 1932793	1932756 // 1934604	-	edd-eda // OP00322
atpIBEFHAGDC	atpIp	3922525	RNA polymerase sigma factor RpoD	atpC // atpD // atpG // atpA // atpH // atpF // atpE // atpB // atpI	3915553 // 3915993 // 3917402 // 3918316 // 3919870 // 3920418 // 3920950 // 3921236 // 3922060	3915972 // 3917375 // 3918265 // 3919857 // 3920403 // 3920888 // 3921189 // 3922051 // 3922440	-	atpIBEFHAGDC
gcl-hyi-glxR-ybbVW-allB-ybbY-glxK	gclp	533907	RNA polymerase sigma factor RpoD	glxK // ybbY // allB // allW // glxR // hyi // gcl	541888 // 540565 // 539147 // 537633 // 536586 // 535710 // 533916	543033 // 541866 // 540508 // 539087 // 537464 // 536486 // 535697	+	gcl-hyi-glxR-ybbVW-allB-ybbY-glxK
ecpA	ecpAp	310797	RNA polymerase sigma factor RpoD	ecpA	310084	310671	-	ecpA
hemA-prfA-prmC	hemAp1	1263676	RNA polymerase sigma factor RpoD	prmC // prfA // hemA	1266094 // 1265012 // 1263714	1266927 // 1266094 // 1264970	+	hemA-prfA-prmC
proVWX	proVp2	2804599	RNA polymerase sigma factor RpoD	proX // proW // proV	2807132 // 2806010 // 2804815	2808124 // 2807074 // 2806017	+	proVWX // proU
fliLMNOPQR	fliLp1	2019584	RNA polymerase sigma factor RpoD	fliL // fliM // fliN // fliO // fliP // fliQ // fliR	2019618 // 2020087 // 2021088 // 2021504 // 2021869 // 2022616 // 2022893	2020082 // 2021091 // 2021501 // 2021869 // 2022606 // 2022885 // 2023678	+	fliLMNOPQR
dgcZ	dgcZp	1623879	RNA polymerase sigma factor RpoD	dgcZ	1622960	1623850	-	dgcZ
metH	metHp2	4223505	RNA polymerase sigma factor RpoD	metH	4223828	4227511	+	metH
aroKB-damX-dam-rpe-gph-trpS	aroKp2	3519167	RNA polymerase sigma factor RpoD	trpS // gph // rpe // dam // damX // aroB // aroK	3512634 // 3513631 // 3514382 // 3515077 // 3516020 // 3517398 // 3518543	3513638 // 3514389 // 3515059 // 3515913 // 3517306 // 3518486 // 3519064	-	aroKB-damX-dam-rpe-gph-trpS
kdtA-coaD	waaAp1	3808516	RNA polymerase sigma factor RpoD	waaA // coaD	3808540 // 3809825	3809817 // 3810304	+	kdtA-coaD // kdtAB // waaA-coaD
gloA	gloAp	1727801	RNA polymerase sigma factor RpoD	gloA	1727837	1728244	+	gloA
rimP-nusA-infB	rimPp	3318175	RNA polymerase sigma factor RpoD	rimP // infB // nusA	3317554 // 3313342 // 3316039	3318006 // 3316014 // 3317526	-	rimP-nusA-infB // yhbC-nusA-infB
galR	galRp	2976569	RNA polymerase sigma factor RpoD	galR	2976599	2977630	+	galR
ilvL	ilvLp2	3950290	RNA polymerase sigma factor RpoD	ilvL	3950322	3950420	+	ilvL
mepH	mepHp	1734357	RNA polymerase sigma factor RpoD	mepH	1734435	1735250	+	mepH
yliM-ompX	yliMp	850209	RNA polymerase sigma factor RpoD	yliM // ompX	850332 // 850450	850397 // 850965	+	yliM-ompX
araC	araCp	70223	RNA polymerase sigma factor RpoD	araC	70387	71265	+	araC // OP00004
appY	appYp1	583567	RNA polymerase sigma factor RpoD	appY	583681	584430	+	appY
gntR	gntRp2	3578818	RNA polymerase sigma factor RpoD	gntR	3577731	3578726	-	gntR
osmE	osmEp	1822283	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	osmE	1821918	1822256	-	osmE
dmsABC	dmsAp1	940823	RNA polymerase sigma factor RpoD	dmsA // dmsB // dmsC	940959 // 943414 // 944033	943403 // 944031 // 944896	+	dmsABC // OP00026 // dms
csrB	csrBp	2924524	RNA polymerase sigma factor RpoD	csrB	2924156	2924524	-	csrB
argS	argSp	1960001	RNA polymerase sigma factor RpoD	argS	1960062	1961795	+	argS
kdpFABC	kdpFp	728849	RNA polymerase sigma factor RpoD	kdpF // kdpC // kdpB // kdpA	728732 // 724407 // 724988 // 727059	728821 // 724979 // 727036 // 728732	-	kdpFABC // OP00044 // kdpABC
gntP	gntPp	4551334	RNA polymerase sigma factor RpoD	gntP	4549953	4551296	-	gntP
rpsU-dnaG-rpoD	rpsUp3	3210735	RNA polymerase sigma factor RpoD	rpsU // dnaG // rpoD	3210781 // 3211107 // 3213047	3210996 // 3212852 // 3214888	+	rpsU-dnaG-rpoD
rne	rnep3	1144873	RNA polymerase sigma factor RpoD	rne	1141182	1144367	-	rne
trpLEDCBA	trpLp	1323108	RNA polymerase sigma factor RpoD	trpA // trpB // trpC // trpD // trpE // trpL	1316416 // 1317222 // 1318427 // 1319789 // 1321384 // 1323038	1317222 // 1318415 // 1319788 // 1321384 // 1322946 // 1323082	-	trpLEDCBA // OP00094 // trp
ynfEFGH-dmsD	ynfEp	1658003	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	dmsD // ynfH // ynfG // ynfF // ynfE	1664506 // 1663609 // 1662990 // 1660556 // 1658069	1665120 // 1664463 // 1663607 // 1662979 // 1660495	+	ynfEFGH-dmsD // ynfEFGHI
pspF	pspFp1	1367945	RNA polymerase sigma factor RpoD	pspF	1366935	1367912	-	pspF
rpoH	rpoHp5	3600849	RNA polymerase sigma factor RpoD	rpoH	3599929	3600783	-	rpoH // OP00113
gcd	gcdp1	141263	RNA polymerase sigma factor RpoD	gcd	138835	141225	-	gcd
rcsA	rcsAp	2023836	RNA polymerase sigma factor RpoD	rcsA	2023968	2024591	+	rcsA
araJ	araJp	412529	RNA polymerase sigma factor RpoD	araJ	411297	412481	-	araJ // OP00139
entS	entSp2	622253	RNA polymerase sigma factor RpoD	entS	622300	623550	+	entS // GN01127; o416; ybdA
ileX	ileXp	3215597	RNA polymerase sigma factor RpoD	ileX	3215598	3215673	+	ileX
betT	betTp	329421	RNA polymerase sigma factor RpoD	betT	329463	331496	+	betT // OP00156
metJ	metJp3	4128466	RNA polymerase sigma factor RpoD	metJ	4128078	4128395	-	metJ
leuU	leuUp	3322278	RNA polymerase sigma factor RpoD	leuU	3322072	3322158	-	leuU
malXY	malXp	1699313	RNA polymerase sigma factor RpoD	malX // malY	1699355 // 1700957	1700947 // 1702129	+	malXY // OP00176
cydAB	cydAp5	771368	RNA polymerase sigma factor RpoD	cydB // cydA	773042 // 771458	774181 // 773026	+	cydAB
caiF	caiFp	34218	RNA polymerase sigma factor RpoD	caiF	34300	34695	+	caiF
dsdC	dsdCp	2477746	RNA polymerase sigma factor RpoD	dsdC	2476694	2477629	-	dsdC // OP00200
pabA	pabAp	3490851	RNA polymerase sigma factor RpoD	pabA	3490266	3490829	-	pabA
efp	efpp	4375567	RNA polymerase sigma factor RpoD	efp	4375699	4376265	+	efp
rydC	rydCp	1491506	RNA polymerase sigma factor RpoD	rydC	1491442	1491506	-	rydC
rdlD	rdlDp	3700136	RNA polymerase sigma factor RpoD	rdlD	3700136	3700199	+	rdlD
fepDGC	fepDp1	622234	RNA polymerase sigma factor RpoD	fepC // fepG // fepD	619384 // 620196 // 621185	620199 // 621188 // 622189	-	fepDGC // OP00226
ssuEADCB	ssuEp	997563	RNA polymerase sigma factor RpoD	ssuB // ssuC // ssuD // ssuA // ssuE	993277 // 994041 // 994843 // 995985 // 996937	994044 // 994832 // 995988 // 996944 // 997512	-	ssuEADCB
rcsB	rcsBp2	2315975	RNA polymerase sigma factor RpoD	rcsB	2316177	2316827	+	rcsB
arcA	arcAp5	4640681	RNA polymerase sigma factor RpoD	arcA	4639590	4640306	-	arcA
lrp	lrpp	932328	RNA polymerase sigma factor RpoD	lrp	932595	933089	+	lrp // OP00251
tufA	tufAp2	3471583	RNA polymerase sigma factor RpoD	tufA	3470145	3471329	-	tufA
codBA	codBp	354884	RNA polymerase sigma factor RpoD	codB // codA	354922 // 356171	356181 // 357454	+	codBA // OP00277
rapA-rluA	rapAp1	63358	RNA polymerase sigma factor RpoD	rluA // rapA	59687 // 60358	60346 // 63264	-	rapA-rluA
paaABCDEFGHIJK	paaAp	1453865	RNA polymerase sigma factor RpoD	paaK // paaJ // paaI // paaH // paaG // paaF // paaE // paaD // paaC // paaB // paaA	1462125 // 1460893 // 1460471 // 1459054 // 1458264 // 1457497 // 1456430 // 1455925 // 1455164 // 1454868 // 1453927	1463438 // 1462098 // 1460893 // 1460481 // 1459052 // 1458264 // 1457500 // 1456422 // 1455910 // 1455155 // 1454856	+	paaABCDEFGHIJK
treBC	treBp	4466210	RNA polymerase sigma factor RpoD	treC // treB	4463054 // 4464759	4464709 // 4466180	-	treBC // OP00298
pqiABC	pqiAp2	1011659	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	pqiC // pqiB // pqiA	1014896 // 1013259 // 1012001	1015459 // 1014899 // 1013254	+	pqiABC
accA	accAp1	208411	RNA polymerase sigma factor RpoD	accA	208621	209580	+	accA
nohA-stfQ-tfaQ	nohAp	1636603	RNA polymerase sigma factor RpoD	tfaQ // stfQ // nohA	1634310 // 1634885 // 1635798	1634885 // 1635847 // 1636367	-	nohA-stfQ-tfaQ
dppABCDF	dppAp	3707870	RNA polymerase sigma factor RpoD	dppF // dppD // dppC // dppB // dppA	3701864 // 3702865 // 3703859 // 3704771 // 3706098	3702868 // 3703848 // 3704761 // 3705790 // 3707705	-	dppABCDF // dpp // dppABCDE
csrA	csrAp1	2819373	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	csrA	2818961	2819146	-	csrA
yjeFE-amiB-mutL-miaA-hfq-hflXKC	yjeFp2	4393937	RNA polymerase sigma factor RpoD	hflC // hflK // hflX // hfq // miaA // mutL // amiB // tsaE // nnr	4403300 // 4402038 // 4400672 // 4400288 // 4399252 // 4397412 // 4396065 // 4395585 // 4394066	4404304 // 4403297 // 4401952 // 4400596 // 4400202 // 4399259 // 4397402 // 4396046 // 4395613	+	yjeFE-amiB-mutL-miaA-hfq-hflXKC // ORF55-ORF17-amiB-mutL-miaA-hfq-hflXKC
pgk	pgkp1	3072857	RNA polymerase sigma factor RpoD	pgk	3071459	3072622	-	pgk
sbcDC	sbcDp	416977	RNA polymerase sigma factor RpoD	sbcD // sbcC	415750 // 412607	416952 // 415753	-	sbcDC
dam-rpe-gph-trpS	damp2	3515982	RNA polymerase sigma factor RpoD	trpS // gph // rpe // dam	3512634 // 3513631 // 3514382 // 3515077	3513638 // 3514389 // 3515059 // 3515913	-	dam-rpe-gph-trpS
fumAC	fumAp	1688440	RNA polymerase sigma factor RpoD	fumC // fumA	1685185 // 1686731	1686588 // 1688377	-	fumAC
yhdT-panF-prmA	yhdTp	3407351	RNA polymerase sigma factor RpoD	yhdT // panF // prmA	3407375 // 3407607 // 3409070	3407617 // 3409058 // 3409951	+	yhdT-panF-prmA
feaR	feaRp2	1447309	RNA polymerase sigma factor RpoD	feaR	1446378	1447283	-	feaR
rpsU-dnaG-rpoD	rpsUp1	3210646	RNA polymerase sigma factor RpoD	rpsU // dnaG // rpoD	3210781 // 3211107 // 3213047	3210996 // 3212852 // 3214888	+	rpsU-dnaG-rpoD
bcsBZ	bcsBp	3692673	RNA polymerase sigma factor RpoD	bcsZ // bcsB	3689155 // 3690268	3690261 // 3692607	-	bcsBZ
lapAB	lapAp2	1340186	RNA polymerase sigma factor RpoD	lapB // lapA	1340558 // 1340243	1341727 // 1340551	+	lapAB
pstS	pstSp	3911568	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	pstS	3910485	3911525	-	pstS
ttdABT	ttdAp	3206424	RNA polymerase sigma factor RpoD	ttdT // ttdA // ttdB	3208024 // 3206463 // 3207371	3209487 // 3207374 // 3207976	+	ttdABT
uvrB	uvrBp1	813493	RNA polymerase sigma factor RpoD	uvrB	813526	815547	+	uvrB
argI	argIp	4478344	RNA polymerase sigma factor RpoD	argI	4477307	4478311	-	argI // OP00008
recAX	recAp	2823819	RNA polymerase sigma factor RpoD	recX // recA	2822139 // 2822708	2822639 // 2823769	-	recAX
fnr	fnrp	1399552	RNA polymerase sigma factor RpoD	fnr	1398774	1399526	-	fnr // OP00029
malEFGH	malEp	4246464	RNA polymerase sigma factor RpoD	malH // malG // malF // malE	4242531 // 4242626 // 4243531 // 4245229	4242633 // 4243516 // 4245075 // 4246419	-	malEFGH // OP00047 // malE
pgk-fbaA	pgkp3	3072735	RNA polymerase sigma factor RpoD	fbaA // pgk	3070165 // 3071459	3071244 // 3072622	-	pgk-fbaA
lsp-fkpB-ispH	lspAp	25014	RNA polymerase sigma factor RpoD	ispH // fkpB // lspA	26277 // 25826 // 25207	27227 // 26275 // 25701	+	lsp-fkpB-ispH
hflD-purB	hflDp	1192686	RNA polymerase sigma factor RpoD	purB // hflD	1190616 // 1191990	1191986 // 1192631	-	hflD-purB // OP00075 // purB // ycfC-purB
cspA	cspAp2	3719940	RNA polymerase sigma factor RpoD	cspA	3720049	3720261	+	cspA
corA	corAp	4001194	RNA polymerase sigma factor RpoD	corA	4001426	4002376	+	corA
uvrB	uvrBp2	813462	RNA polymerase sigma factor RpoD	uvrB	813526	815547	+	uvrB // OP00098
cusCFBA	cusCp	595573	RNA polymerase sigma factor RpoD	cusA // cusB // cusF // cusC	598714 // 597479 // 597131 // 595600	601857 // 598702 // 597463 // 596973	+	cusCFBA // ylcBCD-ybdE
glnB	glnBp1	2687441	RNA polymerase sigma factor RpoD	glnB	2687070	2687408	-	glnB
phoE	phoEp	260158	RNA polymerase sigma factor RpoD	phoE	259045	260100	-	phoE // OP00118
ybjC-nfsA-rimK-ybjN	ybjCp	890892	RNA polymerase sigma factor RpoD	ybjN // rimK // nfsA // ybjC	892957 // 891967 // 891184 // 890913	893433 // 892869 // 891906 // 891200	+	ybjC-nfsA-rimK-ybjN
aspV	aspVp	236913	RNA polymerase sigma factor RpoD	aspV	236931	237007	+	aspV
rcnR	rcnRp	2185903	RNA polymerase sigma factor RpoD	rcnR	2185524	2185796	-	rcnR
topA	topAp4	1330818	RNA polymerase sigma factor RpoD	topA	1331048	1333645	+	topA
glyVXY	glyVp	4392313	RNA polymerase sigma factor RpoD	glyV // glyX // glyY	4392360 // 4392472 // 4392583	4392435 // 4392547 // 4392658	+	glyVXY // glyV
crp	crpp1	3485953	RNA polymerase sigma factor RpoD	crp	3486120	3486752	+	crp // OP00160
cpxPQ	cpxPp	4105785	RNA polymerase sigma factor RpoD	cpxQ // cpxP	4106330 // 4105820	4106387 // 4106320	+	cpxPQ
leuQPV	leuQp	4606432	RNA polymerase sigma factor RpoD	leuV // leuP // leuQ	4606079 // 4606200 // 4606315	4606165 // 4606286 // 4606401	-	leuQPV // leuQ
fucAO	fucAp	2933854	RNA polymerase sigma factor RpoD	fucO // fucA	2931865 // 2933041	2933013 // 2933688	-	fucAO // OP00179
gspCDEFGHIJKLMO	gspCp2	3455527	RNA polymerase sigma factor RpoD	gspO // gspM // gspL // gspK // gspJ // gspI // gspH // gspG // gspF // gspE // gspD // gspC	3465543 // 3465082 // 3463922 // 3462924 // 3462344 // 3461974 // 3461468 // 3461023 // 3459817 // 3458339 // 3456377 // 3455578	3466220 // 3465543 // 3465085 // 3463907 // 3462931 // 3462351 // 3461977 // 3461460 // 3461013 // 3459820 // 3458329 // 3456393	+	gspCDEFGHIJKLMO
ompR-envZ	ompRp3	3536639	RNA polymerase sigma factor RpoD	envZ // ompR	3534516 // 3535865	3535868 // 3536584	-	ompR-envZ
uvrC	uvrCp3	1994879	RNA polymerase sigma factor RpoD	uvrC	1992874	1994706	-	uvrC
trpCBA	trpCp	1319944	RNA polymerase sigma factor RpoD	trpA // trpB // trpC	1316416 // 1317222 // 1318427	1317222 // 1318415 // 1319788	-	trpCBA
mglBAC	mglBp	2240566	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	mglC // mglA // mglB	2236743 // 2237769 // 2239350	2237753 // 2239289 // 2240348	-	mglBAC // OP00230 // mglBAK
aceEF	aceEp1	122969	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	aceF // aceE	125695 // 123017	127587 // 125680	+	aceEF
cydAB	cydAp2	771284	RNA polymerase sigma factor RpoD	cydB // cydA	773042 // 771458	774181 // 773026	+	cydAB
livKHMGF	livKp1	3597755	RNA polymerase sigma factor RpoD	livF // livG // livM // livH // livK	3592724 // 3593439 // 3594203 // 3595477 // 3596451	3593437 // 3594206 // 3595480 // 3596403 // 3597560	-	livKHMGF // OP00256 // hrbB
kdsC-lptCAB	kdsCp2	3342010	RNA polymerase sigma factor RpoD	lptB // lptA // lptC // kdsC	3343944 // 3343380 // 3342836 // 3342273	3344669 // 3343937 // 3343411 // 3342839	+	kdsC-lptCAB
nhaAR	nhaAp1	17458	RNA polymerase sigma factor RpoD	nhaR // nhaA	18715 // 17489	19620 // 18655	+	nhaAR // OP00281
glpTQ	glpTQp	2352451	RNA polymerase sigma factor RpoD	glpQ // glpT	2349935 // 2351016	2351011 // 2352374	-	glpTQ // OP00304
waaA	waaAp1	3808516	RNA polymerase sigma factor RpoD	waaA	3808540	3809817	+	waaA // kdtA
dinB-yafNOP	dinBp	250880	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	yafP // yafO // yafN // dinB	252709 // 252301 // 252005 // 250898	253161 // 252699 // 252298 // 251953	+	dinB-yafNOP
bhsA	bhsAp9	1169019	RNA polymerase sigma factor RpoD	bhsA	1169073	1169330	+	bhsA
acrAB	acrAp	485698	RNA polymerase sigma factor RpoD	acrA // acrB	484426 // 481254	485619 // 484403	-	acrAB
glk	glkp4	2509461	RNA polymerase sigma factor RpoD // RNA polymerase sigma factor RpoS	glk	2508461	2509426	-	glk
ydeP	ydePp	1586664	RNA polymerase sigma factor RpoD	ydeP	1584207	1586486	-	ydeP
exbBD	exbBp	3152014	RNA polymerase sigma factor RpoD	exbD // exbB	3150818 // 3151250	3151243 // 3151984	-	exbBD
csrA	csrAp5	2819189	RNA polymerase sigma factor RpoD	csrA	2818961	2819146	-	csrA
mutL-miaA-hfq-hflXKC	mutLp1	4397100	RNA polymerase sigma factor RpoD	hflC // hflK // hflX // hfq // miaA // mutL	4403300 // 4402038 // 4400672 // 4400288 // 4399252 // 4397412	4404304 // 4403297 // 4401952 // 4400596 // 4400202 // 4399259	+	mutL-miaA-hfq-hflXKC
cdd	cddp	2231819	RNA polymerase sigma factor RpoD	cdd	2231844	2232728	+	cdd
modABC	modAp2	795062	RNA polymerase sigma factor RpoD	modA // modB // modC	795089 // 795862 // 796554	795862 // 796551 // 797612	+	modABC
